Original Size,Challenge Count,Comm: IoT->Cloud,Comm: IoT->Verifier,Comm: Verifier->Cloud,Comm: Cloud->Verifier,Blockchain: Store Payload,Blockchain: Verify Payload,Storage: Cloud Total,Storage Expansion Ratio
16384,1,19955,28463,177,0,128,0,16798,1.0253
16384,5,19987,28435,311,7639,128,7639,16822,1.0267
16384,10,19979,28463,482,13407,128,13407,16815,1.0263
16384,20,19979,28455,809,24903,128,24903,16815,1.0263
16384,50,19983,28435,1807,59459,128,59459,16819,1.0266
16384,100,19975,28439,3477,116983,128,116983,16811,1.0261
16384,200,19991,28447,6783,232203,128,232203,16825,1.0269
16384,300,19951,28443,10152,347411,128,347411,16793,1.025
16384,600,19975,28455,11081,379731,128,379731,16811,1.0261
32768,1,38711,45631,177,3147,128,3147,33488,1.022
32768,5,38703,45671,312,8235,128,8235,33482,1.0218
32768,10,38699,45691,478,14583,128,14583,33480,1.0217
32768,20,38719,45671,813,27255,128,27255,33493,1.0221
32768,50,38691,45711,1831,65447,128,65447,33474,1.0215
32768,100,38679,45675,3518,129023,128,129023,33463,1.0212
32768,200,38675,45675,6868,256175,128,256175,33462,1.0212
32768,300,38691,45691,10246,383235,128,383235,33473,1.0215
32768,600,38655,45655,20335,764563,128,764563,33447,1.0207
65536,1,76055,80023,176,3263,128,3263,66737,1.0183
65536,5,76059,80131,313,8835,128,8835,66739,1.0184
65536,10,76063,80043,488,15807,128,15807,66741,1.0184
65536,20,76039,80071,830,29735,128,29735,66725,1.0181
65536,50,76027,80131,1857,71523,128,71523,66716,1.018
65536,100,76075,80071,3584,141183,128,141183,66750,1.0185
65536,200,76047,80031,7013,280443,128,280443,66730,1.0182
65536,300,76031,80027,10470,419603,128,419603,66717,1.018
65536,600,76027,80111,20740,837299,128,837299,66716,1.018
131072,1,150811,148923,176,3387,128,3387,133292,1.0169
131072,5,150911,148883,319,9451,128,9451,133365,1.0175
131072,10,150791,148847,499,17027,128,17027,133276,1.0168
131072,20,150843,148839,846,32135,128,32135,133314,1.0171
131072,50,150799,148835,1903,77643,128,77643,133281,1.0169
131072,100,150843,148879,3657,153355,128,153355,133315,1.0171
131072,200,150823,148839,7195,304591,128,304591,133301,1.017
131072,300,150827,148823,10702,456347,128,456347,133303,1.017
131072,600,150819,148795,21179,909647,128,909647,133296,1.017
262144,1,300367,286327,177,3511,128,3511,266427,1.0163
262144,5,300335,286467,324,10067,128,10067,266401,1.0162
262144,10,300299,286531,503,18243,128,18243,266374,1.0161
262144,20,300367,286387,857,34587,128,34587,266425,1.0163
262144,50,300307,286407,1923,83639,128,83639,266382,1.0162
262144,100,300347,286563,3694,165447,128,165447,266411,1.0163
262144,200,300267,286375,7262,328983,128,328983,266352,1.0161
262144,300,300239,286487,10809,492687,128,492687,266330,1.016
262144,600,300259,286363,21493,983431,128,983431,266345,1.016
524288,1,599379,561535,180,3635,128,3635,532629,1.0159
524288,5,599375,561795,325,10663,128,10663,532626,1.0159
524288,10,599447,561751,505,19447,128,19447,532679,1.016
524288,20,599467,561531,864,36987,128,36987,532695,1.016
524288,50,599395,561535,1932,89659,128,89659,532642,1.0159
524288,100,599315,561567,3740,177575,128,177575,532581,1.0158
524288,200,599415,561603,7333,353271,128,353271,532656,1.016
524288,300,599231,561819,10900,528739,128,528739,532518,1.0157
524288,600,599423,561579,21709,1055451,128,1055451,532661,1.016
